PRNAME,CARUID,crop,forecastYear,forecastMonth,PR ID,Forecasted Median Yield,Forecasted 10th Percentile Worst Yield,Forecasted 90th Percentile Best Yield,% Departure from the Long Term (1987-last year) Mean Yield,% Departure from the Last 5 Years (2019-2023) Mean Yield,% Departure from Last Year's Mean Yield,Crop Potential Index,Bravis-Pearson Coefficients of Determination (R2),Root Mean Square Error,LATITUDE,LONGITUDE
Quebec,2411,corn,2024,8,24,154.64,144.32,164.96,15.54,9.46,11.81,2.97,0.72,8.2,46.09189987,-72.14859772
Alberta,4800,corn,2024,9,48,144.84,127.59,162.09,38.8,3.99,-3.44,0.58,0.7,13.83,55.1697998,-114.5110016
Manitoba,4600,corn,2024,9,46,136.31,125.35,147.28,43.53,14.22,6.16,0.97,0.82,8.78,54.92959976,-97.43240356
New Brunswick / Nouveau-Brunswick,1300,corn,2024,9,13,137.57,124,151.14,18.29,8.77,0.34,0.64,0.55,10.1,46.61719894,-66.37850189
Nova Scotia / Nouvelle-Écosse,1200,corn,2024,9,12,135.18,124.23,146.12,27.21,14.48,25.17,1.5,0.72,6.99,45.14590073,-63.33179855
Ontario,3501,corn,2024,9,35,191.08,181.3,200.87,21.88,8.64,6.93,2.24,0.89,9.32,42.83430099,-81.15840149
Ontario,3502,corn,2024,9,35,193.16,185.47,200.85,44.13,16.33,14.02,3.53,0.93,7.04,44.06389999,-80.59929657
Ontario,3503,corn,2024,9,35,169.02,158.84,179.2,28.88,15.31,6.64,1.82,0.9,7.32,44.89519882,-78.82150269
Ontario,3504,corn,2024,9,35,173.17,161.72,184.62,19.86,11.18,7.29,1.84,0.73,10.34,45.12820053,-76.3615036
Ontario,3505,corn,2024,9,35,113.7,97.45,129.94,16.93,-8.46,-4.54,-2.25,0.66,14.06,51.1882019,-86.91320038
Quebec,2403,corn,2024,9,24,147.33,135.89,158.77,13.19,11.74,18.63,2.01,0.61,8.59,47.63639832,-72.93379974
Quebec,2404,corn,2024,9,24,151.56,141.72,161.4,22.45,11.46,31.33,0.65,0.91,6.35,45.46530151,-71.58560181
Quebec,2405,corn,2024,9,24,150.17,140.7,159.64,5.38,4.97,5.83,2.94,0.5,8.2,46.57379913,-73.90589905
Quebec,2406,corn,2024,9,24,172.7,157.99,187.42,23.57,19.68,10.49,2.26,0.68,8.62,46.56259918,-75.8506012
Quebec,2408,corn,2024,9,24,124.64,110.9,138.39,10.72,5.15,4.56,0.61,0.31,13.46,46.48519897,-70.73770142
Quebec,2409,corn,2024,9,24,166.48,155.56,177.4,8.76,5.91,5.44,1.12,0.78,6.1,45.51089859,-72.90090179
Quebec,2410,corn,2024,9,24,166.55,154.39,178.72,6.32,6.53,6.7,1.07,0.56,7.65,45.21229935,-73.78250122
Quebec,2411,corn,2024,9,24,157.29,146.9,167.67,17.52,11.33,13.73,3.56,0.76,8.07,46.09189987,-72.14859772
Alberta,4820,durum_wheat,2024,7,48,45.32,38.1,52.55,13.22,14.56,43.42,0.45,0.87,3.17,50.52590179,-112.5500031
Alberta,4810,durum_wheat,2024,7,48,37.59,28.28,46.9,8.97,39.11,91.78,1.21,0.82,3.88,50.66460037,-110.9089966
Alberta,4830,durum_wheat,2024,7,48,45.51,37.44,53.58,19,10.2,31.16,0.37,0.77,4.47,51.08769989,-115.1790009
Saskatchewan,4704,durum_wheat,2024,7,47,32.07,22.16,41.97,9.71,28.06,85.36,0.57,0.88,3.04,49.53290176,-108.7890015
Saskatchewan,4708,durum_wheat,2024,7,47,32.68,22.22,43.15,6.3,37.33,117.89,0.84,0.78,4.49,50.71530151,-108.8300018
Saskatchewan,4703,durum_wheat,2024,7,47,32.79,24.76,40.83,7.99,0.52,67.32,0.02,0.86,2.89,49.54230118,-106.4049988
Saskatchewan,4707,durum_wheat,2024,7,47,39.39,30.87,47.91,18.75,13.13,44.82,0.36,0.87,3.02,50.59840012,-106.6139984
Saskatchewan,4702,durum_wheat,2024,7,47,41.36,34.13,48.59,32.01,1.27,34.29,0.06,0.84,3.19,49.52310181,-104.2490005
Saskatchewan,4706,durum_wheat,2024,7,47,49.24,42.11,56.38,33.12,7.52,13.99,0.4,0.83,3.63,50.59830093,-104.3659973
Saskatchewan,4701,durum_wheat,2024,7,47,46.72,39.38,54.04,42.9,1.91,47.83,0.08,0.77,4.47,49.52339935,-102.3099976
Saskatchewan,4705,durum_wheat,2024,7,47,48.55,40.84,56.25,37.37,29.48,,1.07,0.76,3.88,50.58200073,-102.3919983
Saskatchewan,4713,durum_wheat,2024,7,47,42.14,33.08,51.2,26.12,26.7,16.41,0.9,0.7,4.66,52.15140152,-109.262001
Saskatchewan,4717,durum_wheat,2024,7,47,50.24,39.46,61,37.51,,,,0.59,7.95,53.79119873,-108.9599991
Saskatchewan,4712,durum_wheat,2024,7,47,42.62,33.35,51.9,27.93,26.4,84.52,0.55,0.84,3.98,51.94589996,-107.7990036
Saskatchewan,4711,durum_wheat,2024,7,47,41.08,32.4,49.77,25.93,30.01,75.57,0.95,0.76,4.39,51.67309952,-106.0029984
Saskatchewan,4716,durum_wheat,2024,7,47,46.34,38.79,53.88,34.18,,,,0.55,5.69,56.79359818,-105.9339981
Saskatchewan,4710,durum_wheat,2024,7,47,49.01,41.2,56.82,44.79,,,,0.66,5.02,51.6393013,-104.1080017
Saskatchewan,4715,durum_wheat,2024,7,47,57.41,48.37,66.46,58.33,4.64,,0.1,0.69,6.93,52.89289856,-105.586998
Saskatchewan,4709,durum_wheat,2024,7,47,48.49,41.95,55.02,36.42,,,,0.65,4.46,51.7173996,-102.4309998
Saskatchewan,4714,durum_wheat,2024,7,47,51.42,44.12,58.73,42.62,,-7.51,,0.7,4.74,53.01649857,-103.3099976
Alberta,4820,durum_wheat,2024,8,48,46.93,42.83,51.04,17.24,18.63,48.52,0.58,0.86,3.31,50.52590179,-112.5500031
Alberta,4810,durum_wheat,2024,8,48,34.81,30.3,39.33,6.65,28.84,77.62,0.89,0.83,3.7,50.66460037,-110.9089966
Alberta,4830,durum_wheat,2024,8,48,39.83,34.13,45.53,4.13,-3.57,14.77,-0.13,0.75,4.68,51.08769989,-115.1790009
Saskatchewan,4704,durum_wheat,2024,8,47,29.86,23.45,36.26,2.16,19.25,72.6,0.39,0.83,3.68,49.53290176,-108.7890015
Saskatchewan,4708,durum_wheat,2024,8,47,30,24.68,35.32,-2.42,26.07,100.03,0.58,0.76,4.59,50.71530151,-108.8300018
Saskatchewan,4703,durum_wheat,2024,8,47,27.98,22.86,33.1,-7.87,-14.25,42.74,-0.44,0.78,3.46,49.54230118,-106.4049988
Saskatchewan,4707,durum_wheat,2024,8,47,37.02,31.88,42.14,11.58,6.3,36.08,0.17,0.88,2.99,50.59840012,-106.6139984
Saskatchewan,4702,durum_wheat,2024,8,47,37.55,33.43,41.67,19.86,-8.05,21.93,-0.38,0.84,3.19,49.52310181,-104.2490005
Saskatchewan,4706,durum_wheat,2024,8,47,49.59,45.35,53.82,34.06,8.28,14.79,0.44,0.83,3.66,50.59830093,-104.3659973
Saskatchewan,4701,durum_wheat,2024,8,47,41.33,35.78,46.87,26.41,-9.84,30.78,-0.44,0.77,4.47,49.52339935,-102.3099976
Saskatchewan,4705,durum_wheat,2024,8,47,44.75,40.26,49.23,26.6,19.33,,0.7,0.77,3.67,50.58200073,-102.3919983
Saskatchewan,4713,durum_wheat,2024,8,47,32.43,24.89,39.96,-2.95,-2.5,-10.42,-0.08,0.76,4.14,52.15140152,-109.262001
Saskatchewan,4717,durum_wheat,2024,8,47,41.42,32.94,49.9,13.37,,,,0.59,7.95,53.79119873,-108.9599991
Saskatchewan,4712,durum_wheat,2024,8,47,38.56,32.16,44.98,15.75,14.36,66.94,0.3,0.84,3.95,51.94589996,-107.7990036
Saskatchewan,4711,durum_wheat,2024,8,47,38.07,32.02,44.12,16.68,20.46,62.68,0.65,0.8,4.02,51.67309952,-106.0029984
Saskatchewan,4716,durum_wheat,2024,8,47,43.42,35.92,50.92,25.72,,,,0.59,5.37,56.79359818,-105.9339981
Saskatchewan,4710,durum_wheat,2024,8,47,46.5,39.65,53.35,37.36,,,,0.66,5,51.6393013,-104.1080017
Saskatchewan,4715,durum_wheat,2024,8,47,51.57,43.58,59.57,42.22,-6.01,,-0.13,0.64,7.33,52.89289856,-105.586998
Saskatchewan,4709,durum_wheat,2024,8,47,48.46,42.01,54.89,36.33,,,,0.65,4.46,51.7173996,-102.4309998
Saskatchewan,4714,durum_wheat,2024,8,47,46.44,40,52.88,28.8,,-16.47,,0.7,4.74,53.01649857,-103.3099976
Alberta,4820,durum_wheat,2024,9,48,44.04,39.76,48.3,10.01,11.31,39.35,0.35,0.87,3.14,50.52590179,-112.5500031
Alberta,4810,durum_wheat,2024,9,48,35.07,30.57,39.58,7.44,29.8,78.93,0.92,0.83,3.69,50.66460037,-110.9089966
Alberta,4830,durum_wheat,2024,9,48,40.32,34.82,45.82,5.42,-2.37,16.2,-0.09,0.76,4.59,51.08769989,-115.1790009
Saskatchewan,4704,durum_wheat,2024,9,47,25.59,20.52,30.66,-12.44,2.2,47.92,0.04,0.84,3.51,49.53290176,-108.7890015
Saskatchewan,4708,durum_wheat,2024,9,47,32.5,26.25,38.75,5.71,36.57,116.68,0.82,0.76,4.64,50.71530151,-108.8300018
Saskatchewan,4703,durum_wheat,2024,9,47,26.35,23.06,29.65,-13.22,-19.22,34.45,-0.6,0.86,2.85,49.54230118,-106.4049988
Saskatchewan,4707,durum_wheat,2024,9,47,37.35,33.59,41.11,12.6,7.27,37.32,0.2,0.88,2.97,50.59840012,-106.6139984
Saskatchewan,4702,durum_wheat,2024,9,47,36.87,32.49,41.24,17.66,-9.73,19.7,-0.46,0.84,3.19,49.52310181,-104.2490005
Saskatchewan,4706,durum_wheat,2024,9,47,48.89,44.61,53.16,32.16,6.74,13.17,0.36,0.83,3.64,50.59830093,-104.3659973
Saskatchewan,4701,durum_wheat,2024,9,47,41.67,36.23,47.11,27.46,-9.1,31.86,-0.4,0.77,4.47,49.52339935,-102.3099976
Saskatchewan,4705,durum_wheat,2024,9,47,44.78,40.67,48.9,26.7,19.42,,0.7,0.77,3.72,50.58200073,-102.3919983
Saskatchewan,4713,durum_wheat,2024,9,47,35.65,31.02,40.27,6.69,7.18,-1.52,0.24,0.79,3.93,52.15140152,-109.262001
Saskatchewan,4717,durum_wheat,2024,9,47,40.07,31.49,48.65,9.68,,,,0.59,8.01,53.79119873,-108.9599991
Saskatchewan,4712,durum_wheat,2024,9,47,42.21,37.33,47.08,26.68,25.16,82.71,0.53,0.85,3.82,51.94589996,-107.7990036
Saskatchewan,4711,durum_wheat,2024,9,47,37.92,32.59,43.25,16.24,20.01,62.06,0.64,0.76,4.42,51.67309952,-106.0029984
Saskatchewan,4716,durum_wheat,2024,9,47,41.15,33.55,48.76,19.16,,,,0.57,5.48,56.79359818,-105.9339981
Saskatchewan,4710,durum_wheat,2024,9,47,47.7,42.14,53.24,40.89,,,,0.63,5.19,51.6393013,-104.1080017
Saskatchewan,4715,durum_wheat,2024,9,47,51.43,43.99,58.87,41.84,-6.26,,-0.14,0.64,7.33,52.89289856,-105.586998
Saskatchewan,4709,durum_wheat,2024,9,47,48.97,42.89,55.05,37.77,,,,0.65,4.46,51.7173996,-102.4309998
Saskatchewan,4714,durum_wheat,2024,9,47,46.79,40.25,53.33,29.77,,-15.84,,0.7,4.74,53.01649857,-103.3099976
Alberta,4820,fall_rye,2024,7,48,63.56,52.01,75.11,25.98,-4.39,26.1,-0.19,0.54,10.17,50.52590179,-112.5500031
Alberta,4810,fall_rye,2024,7,48,43.64,33.69,53.6,30.73,9.93,,0.39,0.56,5.53,50.66460037,-110.9089966
Alberta,4830,fall_rye,2024,7,48,40.27,28.29,52.25,-8.72,5.69,21.65,0.25,0.52,8.51,51.08769989,-115.1790009
Alberta,4850,fall_rye,2024,7,48,42.1,21.35,62.84,3.61,,,,0.61,11.68,52.69950104,-114.6679993
Alberta,4870,fall_rye,2024,7,48,57.61,44.7,70.53,42.29,1.31,,0.15,0.65,9.5,56.94729996,-116.8280029
Alberta,4860,fall_rye,2024,7,48,36.92,26.08,47.76,9.83,,,,0.69,10.25,56.47129822,-112.810997
Alberta,4840,fall_rye,2024,7,48,51.03,40.56,61.5,51.86,,,,0.61,7.4,52.48089981,-111.4990005
Alberta,4841,fall_rye,2024,7,48,42.93,25.27,60.59,16.45,,,,0.19,17.08,53.36869812,-111.6920013
Saskatchewan,4704,fall_rye,2024,7,47,36.78,28.58,44.99,55.24,5.9,,0.33,0.49,6.21,49.53290176,-108.7890015
Saskatchewan,4708,fall_rye,2024,7,47,42.78,33.95,51.62,36.69,26.11,,0.72,0.6,6.17,50.71530151,-108.8300018
Saskatchewan,4703,fall_rye,2024,7,47,28.21,21.89,34.54,11.16,10.78,,0.61,0.51,4.05,49.54230118,-106.4049988
Saskatchewan,4707,fall_rye,2024,7,47,37.61,30.33,44.89,32.82,,,,0.48,4.99,50.59840012,-106.6139984
Saskatchewan,4702,fall_rye,2024,7,47,41.24,32.62,49.86,31.78,0.77,27.68,0.05,0.46,6.44,49.52310181,-104.2490005
Saskatchewan,4706,fall_rye,2024,7,47,38.63,27.38,49.89,19.08,25.57,-0.43,0.81,0.6,6.63,50.59830093,-104.3659973
Saskatchewan,4701,fall_rye,2024,7,47,53.14,43.55,62.72,42.98,16.86,45.99,0.96,0.74,5.37,49.52339935,-102.3099976
Saskatchewan,4705,fall_rye,2024,7,47,47.62,30.55,64.69,32.91,-4.09,68.27,-0.07,0.24,14.05,50.58200073,-102.3919983
Saskatchewan,4713,fall_rye,2024,7,47,46.57,36.56,56.57,50.15,27.58,,0.49,0.41,7.34,52.15140152,-109.262001
Saskatchewan,4717,fall_rye,2024,7,47,63.1,47.27,78.94,103.6,,-28.13,,0.66,12.99,53.79119873,-108.9599991
Saskatchewan,4712,fall_rye,2024,7,47,43.98,35.33,52.61,39.33,30.49,,0.63,0.52,6.42,51.94589996,-107.7990036
Saskatchewan,4711,fall_rye,2024,7,47,45.18,32.83,57.53,34.46,-15.72,19.51,-0.6,0.41,8.85,51.67309952,-106.0029984
Saskatchewan,4716,fall_rye,2024,7,47,44.15,33.31,54.99,36.52,,,,0.19,14.73,56.79359818,-105.9339981
Saskatchewan,4710,fall_rye,2024,7,47,58.13,44.15,72.12,65.24,-12.93,-36.88,-0.3,0.58,9.98,51.6393013,-104.1080017
Saskatchewan,4715,fall_rye,2024,7,47,56.48,44.23,68.73,57.8,18.99,,0.28,0.36,11.55,52.89289856,-105.586998
Saskatchewan,4709,fall_rye,2024,7,47,35.97,25.78,46.17,10.78,,,,0.51,5.29,51.7173996,-102.4309998
Saskatchewan,4714,fall_rye,2024,7,47,35.98,26.48,45.48,7.17,,18.35,,0.47,5.64,53.01649857,-103.3099976
Manitoba,4601,fall_rye,2024,7,46,58.46,48.1,68.81,46.46,3.79,-6.02,0.1,0.62,8.5,49.27149963,-100.3990021
Manitoba,4602,fall_rye,2024,7,46,56.97,50.76,63.18,47.42,13.26,32.8,1.44,0.81,4.11,49.79869843,-100.2649994
Manitoba,4603,fall_rye,2024,7,46,62.56,50.86,74.26,52.42,-7.28,-13.59,-0.63,0.56,9.27,50.34700012,-100.387001
Manitoba,4608,fall_rye,2024,7,46,72.93,61.57,84.29,45.73,13.21,33.58,0.85,0.75,6.82,49.27899933,-98.30419922
Manitoba,4607,fall_rye,2024,7,46,61.62,50.65,72.59,36.33,-0.96,-9.91,-0.06,0.75,7.01,49.98550034,-98.45970154
Manitoba,4609,fall_rye,2024,7,46,68.91,57.37,80.46,88.51,-3.71,,-0.3,0.93,5.35,49.63000107,-96.80410004
Manitoba,4611,fall_rye,2024,7,46,51.68,40.83,62.53,12.84,-5.89,-30.16,-0.17,0.62,11.26,50.22650146,-97.2460022
Manitoba,4610,fall_rye,2024,7,46,57.96,45.09,70.83,69.92,,,,0.87,5.75,49.73680115,-95.84950256
Manitoba,4604,fall_rye,2024,7,46,66.3,50.35,82.25,62.56,,,,0.81,8.08,51.0135994,-101.1809998
Manitoba,4605,fall_rye,2024,7,46,50.55,39.42,61.67,56.18,,,,0.37,8.93,52.08010101,-101.052002
Manitoba,4606,fall_rye,2024,7,46,45.53,36.31,54.75,15.91,1.5,0.96,0.16,0.31,7.85,51.12139893,-99.88110352
Manitoba,4612,fall_rye,2024,7,46,56.2,32.4,80.01,49.27,,-31.63,,0.72,12.38,55.729599,-97.167099
Ontario,3500,fall_rye,2024,7,35,49.59,44.37,54.81,24.74,-1.46,10.69,-0.13,0.76,2.98,50.44540024,-86.04720306
Quebec,2400,fall_rye,2024,7,24,47.32,40.26,54.38,25.11,-0.58,11.88,-0.03,0.74,4.28,53.39260101,-71.78160095
Alberta,4820,fall_rye,2024,8,48,63.58,51.36,75.79,26.02,-4.36,26.14,-0.18,0.54,10.17,50.52590179,-112.5500031
Alberta,4810,fall_rye,2024,8,48,37.16,28.17,46.16,11.32,-6.39,,-0.25,0.56,5.53,50.66460037,-110.9089966
Alberta,4830,fall_rye,2024,8,48,34.19,25.53,42.83,-22.51,-10.27,3.28,-0.45,0.52,8.51,51.08769989,-115.1790009
Alberta,4850,fall_rye,2024,8,48,47.16,27.75,66.56,16.07,,,,0.67,10.88,52.69950104,-114.6679993
Alberta,4870,fall_rye,2024,8,48,52.23,36.48,67.97,29,-8.16,,-0.93,0.58,10.4,56.94729996,-116.8280029
Alberta,4860,fall_rye,2024,8,48,39.4,25.53,53.27,17.21,,,,0.69,10.25,56.47129822,-112.810997
Alberta,4840,fall_rye,2024,8,48,48.65,37.86,59.44,44.79,,,,0.6,7.47,52.48089981,-111.4990005
Alberta,4841,fall_rye,2024,8,48,44,28.75,59.26,19.37,,,,0.27,16.17,53.36869812,-111.6920013
Saskatchewan,4704,fall_rye,2024,8,47,37.78,29.33,46.22,59.46,8.78,,0.49,0.52,5.98,49.53290176,-108.7890015
Saskatchewan,4708,fall_rye,2024,8,47,44.18,36.37,52,41.16,30.24,,0.83,0.6,6.18,50.71530151,-108.8300018
Saskatchewan,4703,fall_rye,2024,8,47,29.85,23.73,35.97,17.6,17.2,,0.97,0.51,4.05,49.54230118,-106.4049988
Saskatchewan,4707,fall_rye,2024,8,47,35.84,29.02,42.65,26.57,,,,0.46,5.05,50.59840012,-106.6139984
Saskatchewan,4702,fall_rye,2024,8,47,38.7,31.17,46.23,23.65,-5.45,19.8,-0.35,0.54,5.58,49.52310181,-104.2490005
Saskatchewan,4706,fall_rye,2024,8,47,39.39,30.25,48.53,21.41,28.03,1.53,0.89,0.52,7.28,50.59830093,-104.3659973
Saskatchewan,4701,fall_rye,2024,8,47,53.41,43.3,63.51,43.7,17.44,46.72,1,0.73,5.5,49.52339935,-102.3099976
Saskatchewan,4705,fall_rye,2024,8,47,35.67,22.15,49.21,-0.43,-28.15,26.06,-0.47,0.31,13.65,50.58200073,-102.3919983
Saskatchewan,4713,fall_rye,2024,8,47,43.57,36.16,50.98,40.49,19.36,,0.35,0.4,7.45,52.15140152,-109.262001
Saskatchewan,4717,fall_rye,2024,8,47,49.31,33.36,65.27,63.92,,-43.83,,0.45,14.41,53.79119873,-108.9599991
Saskatchewan,4712,fall_rye,2024,8,47,34.67,25.11,44.22,9.84,2.88,,0.06,0.5,6.57,51.94589996,-107.7990036
Saskatchewan,4711,fall_rye,2024,8,47,47,37.88,56.13,39.9,-12.31,24.35,-0.47,0.41,8.8,51.67309952,-106.0029984
Saskatchewan,4716,fall_rye,2024,8,47,44.83,34.25,55.41,38.62,,,,0.26,9.94,56.79359818,-105.9339981
Saskatchewan,4710,fall_rye,2024,8,47,58.29,47.06,69.52,65.69,-12.69,-36.71,-0.3,0.58,9.98,51.6393013,-104.1080017
Saskatchewan,4715,fall_rye,2024,8,47,48.14,34.87,61.41,34.51,1.43,,0.02,0.23,12.59,52.89289856,-105.586998
Saskatchewan,4709,fall_rye,2024,8,47,36.69,27.59,45.8,12.99,,,,0.51,5.29,51.7173996,-102.4309998
Saskatchewan,4714,fall_rye,2024,8,47,34.49,25.23,43.76,2.75,,13.47,,0.53,5.29,53.01649857,-103.3099976
Manitoba,4601,fall_rye,2024,8,46,57.94,48.45,67.44,45.17,2.88,-6.84,0.07,0.59,8.75,49.27149963,-100.3990021
Manitoba,4602,fall_rye,2024,8,46,56.81,51.1,62.53,47,12.94,32.43,1.4,0.81,4.11,49.79869843,-100.2649994
Manitoba,4603,fall_rye,2024,8,46,63.06,51.98,74.13,53.63,-6.55,-12.91,-0.56,0.6,8.62,50.34700012,-100.387001
Manitoba,4608,fall_rye,2024,8,46,75.37,64.16,86.58,50.6,16.99,38.04,1.09,0.74,6.41,49.27899933,-98.30419922
Manitoba,4607,fall_rye,2024,8,46,59.72,51.02,68.41,32.11,-4.02,-12.7,-0.26,0.76,6.91,49.98550034,-98.45970154
Manitoba,4609,fall_rye,2024,8,46,71.53,60.36,82.71,95.67,-0.05,,0,0.89,6.6,49.63000107,-96.80410004
Manitoba,4611,fall_rye,2024,8,46,53.94,41.54,66.34,17.78,-1.78,-27.1,-0.05,0.62,11.26,50.22650146,-97.2460022
Manitoba,4610,fall_rye,2024,8,46,57.22,45.79,68.65,67.75,,,,0.87,5.75,49.73680115,-95.84950256
Manitoba,4604,fall_rye,2024,8,46,63.83,48.8,78.85,56.51,,,,0.81,8.08,51.0135994,-101.1809998
Manitoba,4605,fall_rye,2024,8,46,49.92,37.89,61.95,54.23,,,,0.37,8.93,52.08010101,-101.052002
Manitoba,4606,fall_rye,2024,8,46,44.6,34.7,54.51,13.54,-0.58,-1.11,-0.06,0.34,7.73,51.12139893,-99.88110352
Manitoba,4612,fall_rye,2024,8,46,60.82,41.82,79.83,61.54,,-26.01,,0.72,12.38,55.729599,-97.167099
Ontario,3500,fall_rye,2024,8,35,49.74,44.64,54.84,25.13,-1.15,11.03,-0.11,0.76,2.99,50.44540024,-86.04720306
Quebec,2400,fall_rye,2024,8,24,47.32,40.42,54.22,25.1,-0.59,11.87,-0.03,0.73,4.37,53.39260101,-71.78160095
Alberta,4820,fall_rye,2024,9,48,63.61,52.53,74.69,26.09,-4.31,26.21,-0.18,0.54,10.17,50.52590179,-112.5500031
Alberta,4810,fall_rye,2024,9,48,38.86,31.03,46.69,16.39,-2.12,,-0.08,0.59,5.23,50.66460037,-110.9089966
Alberta,4830,fall_rye,2024,9,48,35.28,24.43,46.13,-20.03,-7.4,6.59,-0.32,0.52,8.51,51.08769989,-115.1790009
Alberta,4850,fall_rye,2024,9,48,48.97,31.98,65.96,20.53,,,,0.62,11.49,52.69950104,-114.6679993
Alberta,4870,fall_rye,2024,9,48,57.48,44.05,70.9,41.96,1.07,,0.12,0.59,10.49,56.94729996,-116.8280029
Alberta,4860,fall_rye,2024,9,48,39.5,28.5,50.5,17.51,,,,0.69,10.25,56.47129822,-112.810997
Alberta,4840,fall_rye,2024,9,48,48.07,37.78,58.36,43.05,,,,0.57,7.78,52.48089981,-111.4990005
Alberta,4841,fall_rye,2024,9,48,44.69,26.1,63.3,21.24,,,,0.37,14.84,53.36869812,-111.6920013
Saskatchewan,4704,fall_rye,2024,9,47,37.7,28.78,46.62,59.12,8.54,,0.48,0.52,5.98,49.53290176,-108.7890015
Saskatchewan,4708,fall_rye,2024,9,47,43.54,36.23,50.86,39.12,28.36,,0.78,0.6,6.18,50.71530151,-108.8300018
Saskatchewan,4703,fall_rye,2024,9,47,29.14,23.25,35.04,14.81,14.42,,0.82,0.51,4.05,49.54230118,-106.4049988
Saskatchewan,4707,fall_rye,2024,9,47,34.71,28,41.42,22.59,,,,0.46,5.05,50.59840012,-106.6139984
Saskatchewan,4702,fall_rye,2024,9,47,37.87,30.9,44.84,21.01,-7.47,17.24,-0.48,0.54,5.58,49.52310181,-104.2490005
Saskatchewan,4706,fall_rye,2024,9,47,39.92,31.17,48.67,23.04,29.74,2.88,0.94,0.65,5.95,50.59830093,-104.3659973
Saskatchewan,4701,fall_rye,2024,9,47,54.42,46.62,62.22,46.41,19.66,49.49,1.12,0.77,5.2,49.52339935,-102.3099976
Saskatchewan,4705,fall_rye,2024,9,47,36.78,21.68,51.89,2.66,-25.92,29.98,-0.44,0.28,13.9,50.58200073,-102.3919983
Saskatchewan,4713,fall_rye,2024,9,47,42.21,32.92,51.48,36.09,15.63,,0.28,0.41,7.49,52.15140152,-109.262001
Saskatchewan,4717,fall_rye,2024,9,47,57.34,40.43,74.26,90.61,,-34.69,,0.38,15.12,53.79119873,-108.9599991
Saskatchewan,4712,fall_rye,2024,9,47,41.85,33.4,50.31,32.59,24.18,,0.5,0.52,6.61,51.94589996,-107.7990036
Saskatchewan,4711,fall_rye,2024,9,47,48.8,37.73,59.86,45.25,-8.96,29.1,-0.34,0.41,8.8,51.67309952,-106.0029984
Saskatchewan,4716,fall_rye,2024,9,47,42.68,32.3,53.07,31.98,,,,0.27,9.91,56.79359818,-105.9339981
Saskatchewan,4710,fall_rye,2024,9,47,58.3,47.55,69.05,65.7,-12.68,-36.7,-0.3,0.58,9.98,51.6393013,-104.1080017
Saskatchewan,4715,fall_rye,2024,9,47,47.5,33.84,61.15,32.7,0.06,,0,0.23,12.59,52.89289856,-105.586998
Saskatchewan,4709,fall_rye,2024,9,47,39.19,31,47.38,20.68,,,,0.51,5.3,51.7173996,-102.4309998
Saskatchewan,4714,fall_rye,2024,9,47,33.91,25.48,42.35,1,,11.54,,0.42,5.87,53.01649857,-103.3099976
Manitoba,4601,fall_rye,2024,9,46,58.86,49.61,68.11,47.47,4.51,-5.37,0.12,0.59,8.75,49.27149963,-100.3990021
Manitoba,4602,fall_rye,2024,9,46,57.84,52.16,63.53,49.67,14.99,34.83,1.62,0.81,4.11,49.79869843,-100.2649994
Manitoba,4603,fall_rye,2024,9,46,62.87,51.24,74.5,53.17,-6.83,-13.17,-0.59,0.59,8.77,50.34700012,-100.387001
Manitoba,4608,fall_rye,2024,9,46,77.09,67.7,86.47,54.04,19.66,41.19,1.26,0.74,6.9,49.27899933,-98.30419922
Manitoba,4607,fall_rye,2024,9,46,60.8,50.74,70.87,34.52,-2.27,-11.1,-0.15,0.76,6.91,49.98550034,-98.45970154
Manitoba,4609,fall_rye,2024,9,46,71.56,62.73,80.39,95.74,-0.02,,0,0.89,6.6,49.63000107,-96.80410004
Manitoba,4611,fall_rye,2024,9,46,50.78,41.85,59.71,10.87,-7.54,-31.38,-0.21,0.62,11.26,50.22650146,-97.2460022
Manitoba,4610,fall_rye,2024,9,46,56.6,44.49,68.7,65.93,,,,0.87,5.75,49.73680115,-95.84950256
Manitoba,4604,fall_rye,2024,9,46,68.17,59.68,76.66,67.15,,,,0.81,8.08,51.0135994,-101.1809998
Manitoba,4605,fall_rye,2024,9,46,50.62,39.39,61.84,56.4,,,,0.37,8.93,52.08010101,-101.052002
Manitoba,4606,fall_rye,2024,9,46,44.15,34.41,53.89,12.38,-1.59,-2.12,-0.17,0.34,7.73,51.12139893,-99.88110352
Manitoba,4612,fall_rye,2024,9,46,62.43,45.36,79.5,65.82,,-24.05,,0.72,12.38,55.729599,-97.167099
Ontario,3500,fall_rye,2024,9,35,50.27,46.2,54.35,26.46,-0.1,12.21,-0.01,0.77,2.92,50.44540024,-86.04720306
Quebec,2400,fall_rye,2024,9,24,43.51,37.33,49.7,15.02,-8.6,2.86,-0.46,0.76,4.1,53.39260101,-71.78160095
Manitoba,4601,flaxseed,2024,7,46,22.75,18.14,27.36,11.84,10.45,19.12,0.96,0.35,3.16,49.27149963,-100.3990021
Manitoba,4602,flaxseed,2024,7,46,26.33,22.25,30.42,21.21,12.62,0.12,1.28,0.59,2.4,49.79869843,-100.2649994
Manitoba,4603,flaxseed,2024,7,46,27.12,23.31,30.93,22.35,1.33,,0.13,0.7,2.32,50.34700012,-100.387001
